Customer_ID,Education,Marital_Status,Income,Children_Per_Household,Teens_Per_Household,Age,Age_Group,Date_Enrolled,Cust_Days,Year_Joined,Month_Joined,Day_Joined,Education_map,Marital_Status_map,Children,Family_Size,has_kids,TotalNumPurchases,Total_Spent,Recency,Class
8082,Graduation,Married,25721,1,0,51,Adult,2013-05-21,404,2013,May,Tuesday,Graduate,Partner,1,3,1,5,34,75,1.0
1386,Graduation,Together,32474,1,1,55,Adult,2014-05-11,49,2014,May,Sunday,Graduate,Partner,2,4,1,4,11,0,1.0
9369,2n Cycle,Single,88194,0,1,43,Adult,2014-03-19,102,2014,March,Wednesday,UnderGrad,Single,1,2,1,32,1274,19,0.0
4477,Graduation,Together,69096,0,1,64,Adult,2013-09-27,275,2013,September,Friday,Graduate,Partner,1,3,1,18,653,4,0.0
1357,Graduation,Together,74854,1,2,52,Adult,2013-04-08,447,2013,April,Monday,Graduate,Partner,3,5,1,19,1562,90,0.0
1402,Master,Married,66991,0,0,68,Senior,2012-09-11,656,2012,September,Tuesday,PostGrad,Partner,0,2,0,21,1253,1,0.0
6312,Graduation,Married,65031,0,1,63,Adult,2013-03-17,469,2013,March,Sunday,Graduate,Partner,1,3,1,30,863,29,0.0
8132,PhD,Married,60631,1,1,47,Adult,2013-04-05,450,2013,April,Friday,PostGrad,Partner,2,4,1,24,661,88,0.0
1050,Graduation,Married,28332,0,0,70,Senior,2014-04-30,60,2014,April,Wednesday,Graduate,Partner,0,2,0,8,65,58,1.0
5846,Graduation,Divorced,40246,1,0,45,Adult,2012-12-19,557,2012,December,Wednesday,Graduate,Single,1,2,1,4,13,68,1.0
1859,Master,Married,75251,0,0,50,Adult,2012-08-27,671,2012,August,Monday,PostGrad,Partner,0,2,0,19,1890,34,0.0
7503,Graduation,Single,75825,0,0,46,Adult,2012-10-12,625,2012,October,Friday,Graduate,Single,0,1,0,22,2209,40,0.0
10401,2n Cycle,Together,26326,0,0,46,Adult,2013-09-04,298,2013,September,Wednesday,UnderGrad,Partner,0,2,0,4,18,12,1.0
1618,Graduation,Together,56046,0,0,57,Adult,2013-01-02,543,2013,January,Wednesday,Graduate,Partner,0,2,0,21,692,9,0.0
3332,Graduation,Single,29760,1,0,37,Adult,2012-08-29,669,2012,August,Wednesday,Graduate,Single,1,2,1,12,165,87,1.0
2261,Graduation,Married,26304,1,0,53,Adult,2013-06-23,371,2013,June,Sunday,Graduate,Partner,1,3,1,4,16,5,1.0
5346,2n Cycle,Married,23559,1,0,49,Adult,2013-07-03,361,2013,July,Wednesday,UnderGrad,Partner,1,3,1,9,79,87,1.0
4119,Master,Together,38620,0,0,59,Adult,2013-05-11,414,2013,May,Saturday,PostGrad,Partner,0,2,0,11,318,56,1.0
535,Graduation,Divorced,81361,0,0,35,Adult,2014-02-25,124,2014,February,Tuesday,Graduate,Single,0,1,0,27,778,18,0.0
5268,Graduation,Married,29440,1,1,62,Adult,2013-08-11,322,2013,August,Sunday,Graduate,Partner,2,4,1,7,56,95,1.0
273,Master,Married,36138,1,1,52,Adult,2013-07-16,348,2013,July,Tuesday,PostGrad,Partner,2,4,1,13,151,48,1.0
4452,Graduation,Single,50388,0,1,65,Senior,2014-05-28,32,2014,May,Wednesday,Graduate,Single,1,2,1,17,372,3,1.0
8504,Graduation,Married,79593,0,0,49,Adult,2014-05-12,48,2014,May,Monday,Graduate,Partner,0,2,0,19,1366,70,0.0
771,Graduation,Together,54178,0,1,55,Adult,2014-01-21,159,2014,January,Tuesday,Graduate,Partner,1,3,1,10,194,79,0.0
11178,Master,Single,42394,1,0,50,Adult,2014-03-23,98,2014,March,Sunday,PostGrad,Single,1,2,1,5,32,69,1.0
2230,PhD,Married,23626,1,0,52,Adult,2014-05-24,36,2014,May,Saturday,PostGrad,Partner,1,3,1,10,43,84,1.0
7516,Graduation,Married,30096,1,0,39,Adult,2014-05-22,38,2014,May,Thursday,Graduate,Partner,1,3,1,6,45,30,1.0
7247,Graduation,Widow,47916,0,1,62,Adult,2012-11-22,584,2012,November,Thursday,Graduate,Single,1,2,1,22,606,72,1.0
11100,Graduation,Divorced,51813,1,1,50,Adult,2013-04-11,444,2013,April,Thursday,Graduate,Single,2,3,1,7,63,37,1.0
4646,2n Cycle,Married,78497,0,0,71,Senior,2013-12-01,210,2013,December,Sunday,UnderGrad,Partner,0,2,0,25,978,44,0.0
3037,PhD,Married,50150,0,0,39,Adult,2013-06-20,374,2013,June,Thursday,PostGrad,Partner,0,2,0,16,410,32,1.0
1473,2n Cycle,Single,47823,0,1,62,Adult,2013-07-23,341,2013,July,Tuesday,UnderGrad,Single,1,2,1,7,72,0,1.0
1016,PhD,Single,34554,0,1,63,Adult,2014-03-30,91,2014,March,Sunday,PostGrad,Single,1,2,1,7,55,43,1.0
4518,Graduation,Together,85693,0,1,43,Adult,2013-04-20,435,2013,April,Saturday,Graduate,Partner,1,3,1,27,1169,59,0.0
9370,PhD,Married,65846,0,0,77,Senior,2013-05-17,408,2013,May,Friday,PostGrad,Partner,0,2,0,16,1120,68,0.0
8908,Graduation,Married,87195,0,0,63,Adult,2014-05-08,52,2014,May,Thursday,Graduate,Partner,0,2,0,20,1097,35,0.0
8373,Basic,Together,24594,1,0,43,Adult,2013-12-10,201,2013,December,Tuesday,UnderGrad,Partner,1,3,1,5,29,94,1.0
7533,Graduation,Married,49096,1,1,58,Adult,2013-09-24,278,2013,September,Tuesday,Graduate,Partner,2,4,1,13,187,15,1.0
2683,Graduation,Married,52413,0,2,53,Adult,2013-02-02,512,2013,February,Saturday,Graduate,Partner,2,4,1,26,910,56,0.0
3629,Graduation,Single,38557,1,0,44,Adult,2012-12-19,557,2012,December,Wednesday,Graduate,Single,1,2,1,9,145,17,1.0
10991,Master,Married,89058,0,0,62,Adult,2012-12-07,569,2012,December,Friday,PostGrad,Partner,0,2,0,14,850,18,0.0
5077,Graduation,Together,77298,0,1,43,Adult,2013-11-02,239,2013,November,Saturday,Graduate,Partner,1,3,1,24,969,46,0.0
7431,PhD,Single,68126,0,0,31,Adult,2012-11-10,596,2012,November,Saturday,PostGrad,Single,0,1,0,17,1820,40,0.0
3267,Master,Together,57288,0,1,59,Adult,2014-06-25,4,2014,June,Wednesday,PostGrad,Partner,1,3,1,20,608,27,0.0
999,Graduation,Single,86037,0,0,31,Adult,2013-01-02,543,2013,January,Wednesday,Graduate,Single,0,1,0,25,730,95,0.0
9215,PhD,Married,43974,1,0,42,Adult,2012-12-12,564,2012,December,Wednesday,PostGrad,Partner,1,3,1,21,551,19,1.0
2286,Graduation,Single,50785,1,1,60,Adult,2013-09-10,292,2013,September,Tuesday,Graduate,Single,2,3,1,8,114,27,1.0
1592,Graduation,Married,90765,0,0,52,Adult,2014-01-24,156,2014,January,Friday,Graduate,Partner,0,2,0,15,1724,25,0.0
367,2n Cycle,Married,36550,1,0,44,Adult,2013-02-19,495,2013,February,Tuesday,UnderGrad,Partner,1,3,1,20,577,74,1.0
5234,2n Cycle,Together,30753,1,1,55,Adult,2013-07-11,353,2013,July,Thursday,UnderGrad,Partner,2,4,1,7,81,85,1.0
9862,Graduation,Together,21918,1,0,53,Adult,2013-11-14,227,2013,November,Thursday,Graduate,Partner,1,3,1,7,33,37,1.0
9805,Master,Together,56129,0,1,69,Senior,2013-06-20,374,2013,June,Thursday,PostGrad,Partner,1,3,1,22,660,65,0.0
6205,Master,Single,32557,1,0,55,Adult,2014-02-24,125,2014,February,Monday,PostGrad,Single,1,2,1,9,80,13,1.0
8442,Master,Married,19510,2,0,37,Adult,2013-09-04,298,2013,September,Wednesday,PostGrad,Partner,2,4,1,6,30,63,1.0
7386,Graduation,Divorced,30992,1,0,46,Adult,2013-04-22,433,2013,April,Monday,Graduate,Single,1,2,1,5,43,83,1.0
7215,Graduation,Single,101970,0,0,39,Adult,2013-03-12,474,2013,March,Tuesday,Graduate,Single,0,1,0,27,1135,69,0.0
1491,2n Cycle,Together,71488,0,0,57,Adult,2013-02-18,496,2013,February,Monday,UnderGrad,Partner,0,2,0,16,559,87,0.0
11071,Graduation,Single,79607,0,0,38,Adult,2013-04-21,434,2013,April,Sunday,Graduate,Single,0,1,0,16,1923,37,0.0
3381,Master,Married,54348,1,1,69,Senior,2014-06-08,21,2014,June,Sunday,PostGrad,Partner,2,4,1,8,90,51,0.0
11051,PhD,Together,77376,1,1,66,Senior,2014-05-10,50,2014,May,Saturday,PostGrad,Partner,2,4,1,23,661,72,0.0
8026,Graduation,Married,62998,0,1,70,Senior,2013-09-30,272,2013,September,Monday,Graduate,Partner,1,3,1,19,463,10,0.0
433,Master,Alone,61331,1,1,64,Adult,2013-03-10,476,2013,March,Sunday,PostGrad,Single,2,3,1,23,632,42,0.0
9597,Graduation,Married,73448,0,0,53,Adult,2014-02-10,139,2014,February,Monday,Graduate,Partner,0,2,0,19,725,10,0.0
5290,PhD,Married,41551,1,1,58,Adult,2013-08-14,319,2013,August,Wednesday,PostGrad,Partner,2,4,1,16,279,51,1.0
1685,PhD,Together,62981,0,0,55,Adult,2013-03-17,469,2013,March,Sunday,PostGrad,Partner,0,2,0,23,1482,21,0.0
5342,Basic,Divorced,9548,1,0,46,Adult,2012-08-08,690,2012,August,Wednesday,UnderGrad,Single,1,2,1,6,29,31,1.0
9579,PhD,Married,33762,2,1,63,Adult,2013-07-07,357,2013,July,Sunday,PostGrad,Partner,3,5,1,9,106,61,1.0
7660,PhD,Alone,35860,1,1,49,Adult,2014-05-19,41,2014,May,Monday,PostGrad,Single,2,3,1,6,49,37,1.0
1461,PhD,Divorced,36921,1,1,57,Adult,2013-07-28,336,2013,July,Sunday,PostGrad,Single,2,3,1,7,38,74,1.0
821,Master,Single,92859,0,0,30,Adult,2012-10-19,618,2012,October,Friday,PostGrad,Single,0,1,0,22,2077,46,0.0
11084,Master,Together,65104,0,1,46,Adult,2013-11-14,227,2013,November,Thursday,PostGrad,Partner,1,3,1,17,1053,4,0.0
8690,Graduation,Married,86111,0,0,60,Adult,2013-04-19,436,2013,April,Friday,Graduate,Partner,0,2,0,23,1385,73,0.0
2937,PhD,Single,68352,0,1,48,Adult,2013-08-28,305,2013,August,Wednesday,PostGrad,Single,1,2,1,25,871,47,0.0
9701,Graduation,Together,41883,1,0,34,Adult,2013-03-19,467,2013,March,Tuesday,Graduate,Partner,1,3,1,12,312,13,1.0
9949,Graduation,Married,59809,0,2,46,Adult,2012-10-18,619,2012,October,Thursday,Graduate,Partner,2,4,1,15,877,36,0.0
10837,Graduation,Married,23957,1,0,47,Adult,2012-10-28,609,2012,October,Sunday,Graduate,Partner,1,3,1,6,68,47,1.0
3120,Graduation,Together,38547,1,0,41,Adult,2013-08-28,305,2013,August,Wednesday,Graduate,Partner,1,3,1,4,22,49,1.0
5885,2n Cycle,Married,35688,2,1,49,Adult,2012-08-22,676,2012,August,Wednesday,UnderGrad,Partner,3,5,1,16,211,94,1.0
4050,Master,Married,49605,0,0,56,Adult,2014-06-21,8,2014,June,Saturday,PostGrad,Partner,0,2,0,8,127,65,1.0
3830,Master,Married,59354,0,2,69,Senior,2014-04-24,66,2014,April,Thursday,PostGrad,Partner,2,4,1,16,459,59,0.0
7987,Graduation,Married,65747,0,1,53,Adult,2014-03-07,114,2014,March,Friday,Graduate,Partner,1,3,1,19,460,96,0.0
7798,2n Cycle,Together,46344,0,1,50,Adult,2012-12-14,562,2012,December,Friday,UnderGrad,Partner,1,3,1,17,429,28,1.0
92,Graduation,Alone,34176,1,0,34,Adult,2014-05-12,48,2014,May,Monday,Graduate,Single,1,2,1,11,89,12,1.0
7055,PhD,Together,61010,0,1,70,Senior,2012-10-09,628,2012,October,Tuesday,PostGrad,Partner,1,3,1,26,1021,57,0.0
10240,Graduation,Together,69372,0,0,73,Senior,2013-02-19,495,2013,February,Tuesday,Graduate,Partner,0,2,0,21,1381,10,0.0
3025,Graduation,Single,49967,0,1,64,Adult,2013-07-08,356,2013,July,Monday,Graduate,Single,1,2,1,15,306,4,1.0
9283,Graduation,Single,60199,1,2,44,Adult,2013-09-12,290,2013,September,Thursday,Graduate,Single,3,4,1,4,18,49,0.0
9970,Graduation,Together,55375,0,1,45,Adult,2013-10-17,255,2013,October,Thursday,Graduate,Partner,1,3,1,9,162,3,0.0
2730,Graduation,Single,80317,0,0,67,Senior,2013-08-20,313,2013,August,Tuesday,Graduate,Single,0,1,0,18,1231,64,0.0
2795,Master,Single,30523,2,1,64,Adult,2013-07-01,363,2013,July,Monday,PostGrad,Single,3,4,1,4,13,0,1.0
9260,PhD,Married,70356,0,0,77,Senior,2012-11-05,601,2012,November,Monday,PostGrad,Partner,0,2,0,27,1706,20,0.0
8182,Graduation,Married,23228,1,0,38,Adult,2014-01-05,175,2014,January,Sunday,Graduate,Partner,1,3,1,11,121,91,1.0
10095,PhD,Divorced,74165,0,0,47,Adult,2013-05-01,424,2013,May,Wednesday,PostGrad,Single,0,1,0,20,1293,9,0.0
8475,PhD,Married,157243,0,1,49,Adult,2014-03-01,120,2014,March,Saturday,PostGrad,Partner,1,3,1,37,1608,98,0.0
4370,Graduation,Together,43482,2,1,56,Adult,2013-11-13,228,2013,November,Wednesday,Graduate,Partner,3,5,1,9,88,83,1.0
10573,Graduation,Divorced,62551,0,0,69,Senior,2013-11-18,223,2013,November,Monday,Graduate,Single,0,1,0,18,421,27,0.0
3712,Graduation,Divorced,52332,0,0,63,Adult,2013-08-28,305,2013,August,Wednesday,Graduate,Single,0,1,0,12,259,63,0.0
6637,Graduation,Single,66951,0,0,34,Adult,2013-11-02,239,2013,November,Saturday,Graduate,Single,0,1,0,15,1117,46,0.0
3152,Graduation,Together,26091,1,1,65,Senior,2014-02-25,124,2014,February,Tuesday,Graduate,Partner,2,4,1,9,89,84,1.0
5610,Graduation,Together,33456,1,1,57,Adult,2014-04-21,69,2014,April,Monday,Graduate,Partner,2,4,1,6,36,58,1.0
6460,Graduation,Married,28718,1,0,40,Adult,2013-07-13,351,2013,July,Saturday,Graduate,Partner,1,3,1,7,57,78,1.0
1349,Graduation,Married,50447,2,0,52,Adult,2014-04-21,69,2014,April,Monday,Graduate,Partner,2,4,1,8,148,4,1.0
1880,PhD,Together,53537,1,1,63,Adult,2014-01-30,150,2014,January,Thursday,PostGrad,Partner,2,4,1,8,93,17,0.0
641,Graduation,Single,52074,0,1,55,Adult,2014-04-04,86,2014,April,Friday,Graduate,Single,1,2,1,7,119,77,0.0
8717,PhD,Married,80427,0,1,47,Adult,2012-09-12,655,2012,September,Wednesday,PostGrad,Partner,1,3,1,28,1835,56,0.0
10314,PhD,Married,83837,0,0,74,Senior,2012-12-16,560,2012,December,Sunday,PostGrad,Partner,0,2,0,25,1318,79,0.0
10854,PhD,Married,38853,1,1,52,Adult,2014-05-23,37,2014,May,Friday,PostGrad,Partner,2,4,1,7,45,90,1.0
10492,Graduation,Together,38285,2,1,63,Adult,2014-06-24,5,2014,June,Tuesday,Graduate,Partner,3,5,1,4,10,96,1.0
6935,2n Cycle,Married,78497,0,0,71,Senior,2013-12-01,210,2013,December,Sunday,UnderGrad,Partner,0,2,0,25,978,44,0.0
7698,PhD,Married,51650,0,1,46,Adult,2014-05-11,49,2014,May,Sunday,PostGrad,Partner,1,3,1,10,191,81,1.0
3559,2n Cycle,Married,16248,1,0,34,Adult,2014-05-10,50,2014,May,Saturday,UnderGrad,Partner,1,3,1,9,57,77,1.0
10562,Master,Married,66835,0,0,76,Senior,2013-09-28,274,2013,September,Saturday,PostGrad,Partner,0,2,0,24,1033,21,0.0
10796,Master,Married,30477,1,0,38,Adult,2014-01-22,158,2014,January,Wednesday,PostGrad,Partner,1,3,1,6,66,16,1.0
2563,Basic,Married,28249,0,0,61,Adult,2014-06-15,14,2014,June,Sunday,UnderGrad,Partner,0,2,0,6,43,80,1.0
3518,Graduation,Married,25271,1,0,39,Adult,2012-12-05,571,2012,December,Wednesday,Graduate,Partner,1,3,1,5,50,45,1.0
5823,PhD,Single,32303,0,1,52,Adult,2014-03-08,113,2014,March,Saturday,PostGrad,Single,1,2,1,7,39,63,1.0
3934,Graduation,Married,61286,0,1,56,Adult,2013-08-02,331,2013,August,Friday,Graduate,Partner,1,3,1,18,608,34,0.0
6982,Graduation,Married,74068,0,0,46,Adult,2013-03-19,467,2013,March,Tuesday,Graduate,Partner,0,2,0,24,1581,14,0.0
6431,PhD,Married,45759,1,1,58,Adult,2013-02-23,491,2013,February,Saturday,PostGrad,Partner,2,4,1,7,68,13,1.0
9733,Basic,Together,24882,1,0,44,Adult,2012-09-09,658,2012,September,Sunday,UnderGrad,Partner,1,3,1,5,80,52,1.0
5602,PhD,Together,66973,0,0,33,Adult,2013-05-17,408,2013,May,Friday,PostGrad,Partner,0,2,0,28,1282,98,0.0
1324,Graduation,Married,38872,1,0,34,Adult,2013-05-30,395,2013,May,Thursday,Graduate,Partner,1,3,1,8,91,93,1.0
326,Graduation,Married,51148,1,1,49,Adult,2013-02-18,496,2013,February,Monday,Graduate,Partner,2,4,1,16,315,38,1.0
7224,Graduation,Married,31353,1,1,45,Adult,2013-12-29,182,2013,December,Sunday,Graduate,Partner,2,4,1,6,31,24,1.0
6999,Master,Married,69661,0,0,42,Adult,2014-05-13,47,2014,May,Tuesday,PostGrad,Partner,0,2,0,23,834,80,0.0
9938,Graduation,Married,80067,0,0,68,Senior,2013-09-19,283,2013,September,Thursday,Graduate,Partner,0,2,0,17,1600,82,0.0
6422,Graduation,Married,86718,0,0,68,Senior,2013-01-17,528,2013,January,Thursday,Graduate,Partner,0,2,0,17,1270,20,0.0
3182,PhD,Single,46854,1,1,49,Adult,2014-03-31,90,2014,March,Monday,PostGrad,Single,2,3,1,15,263,81,1.0
7300,Graduation,Divorced,69142,0,1,70,Senior,2014-06-29,0,2014,June,Sunday,Graduate,Single,1,2,1,19,535,50,0.0
10424,Graduation,Single,75922,0,0,54,Adult,2013-12-09,202,2013,December,Monday,Graduate,Single,0,1,0,18,1295,60,0.0
8727,Graduation,Divorced,63693,0,1,44,Adult,2013-10-14,258,2013,October,Monday,Graduate,Single,1,2,1,29,1150,63,0.0
2798,PhD,Together,102160,0,0,45,Adult,2012-11-02,604,2012,November,Friday,PostGrad,Partner,0,2,0,26,1240,54,0.0
1030,PhD,Single,40637,1,1,57,Adult,2013-07-17,347,2013,July,Wednesday,PostGrad,Single,2,3,1,6,38,72,1.0
624,Master,Single,18890,0,0,38,Adult,2012-11-10,596,2012,November,Saturday,PostGrad,Single,0,1,0,4,35,5,1.0
5176,Graduation,Together,29604,1,0,34,Adult,2013-12-08,203,2013,December,Sunday,Graduate,Partner,1,3,1,5,53,88,1.0
5552,Master,Divorced,48721,1,1,59,Adult,2013-05-13,412,2013,May,Monday,PostGrad,Single,2,3,1,17,293,50,1.0
868,Graduation,Married,44794,0,1,56,Adult,2014-06-08,21,2014,June,Sunday,Graduate,Partner,1,3,1,6,65,99,1.0
380,Graduation,Divorced,64497,0,1,68,Senior,2012-09-10,657,2012,September,Monday,Graduate,Single,1,2,1,29,1804,17,0.0
2677,Graduation,Together,46097,0,1,66,Senior,2013-03-31,455,2013,March,Sunday,Graduate,Partner,1,3,1,15,241,11,1.0
6521,Graduation,Together,77972,0,0,68,Senior,2014-03-18,103,2014,March,Tuesday,Graduate,Partner,0,2,0,20,1101,18,0.0
6927,PhD,Married,44377,1,1,54,Adult,2012-10-05,632,2012,October,Friday,PostGrad,Partner,2,4,1,19,264,70,1.0
